Date,Meal,Time,Kilojoules,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2021-07-19,Breakfast,8:30 AM,1598.3,12.6,7.4,0.0,0.0,0.0,0.0,225.0,0.0,41.9,2.4,17.6,18.9,0.0,0.0,38.0,0.0,This was my first day. Well done. Should have skipped the muesli bar. And wine!
2021-07-19,Lunch,12:10 PM,1278.3,14.5,7.1,0.3,2.5,0.0,0.0,1591.0,0.0,20.3,3.1,4.3,22.3,0.0,0.0,31.0,0.0,This was my first day. Well done. Should have skipped the muesli bar. And wine!
2021-07-19,Dinner,,74.9,0.1,0.0,0.0,0.0,0.0,0.0,2.0,48.1,4.0,0.3,0.1,0.8,0.0,6.2,2.2,1.1,This was my first day. Well done. Should have skipped the muesli bar. And wine!
2021-07-19,Dinner,5:25 PM,2084.0,2.6,1.1,0.0,0.0,0.0,0.0,600.0,0.0,67.8,8.9,2.5,18.1,0.0,0.0,0.0,0.0,This was my first day. Well done. Should have skipped the muesli bar. And wine!
2021-07-19,Snacks,12:00 PM,506.3,0.4,0.2,0.1,0.0,0.0,0.0,1.4,486.9,31.1,3.5,16.6,1.5,1.7,19.7,0.7,2.0,This was my first day. Well done. Should have skipped the muesli bar. And wine!
2021-07-19,Snacks,12:30 PM,2255.2,40.2,8.4,6.3,17.5,0.0,0.0,57.0,450.0,27.7,6.4,6.1,20.3,0.0,0.0,5.0,25.0,This was my first day. Well done. Should have skipped the muesli bar. And wine!
2021-07-20,Breakfast,8:30 AM,1598.3,12.6,7.4,0.0,0.0,0.0,0.0,225.0,0.0,41.9,2.4,17.6,18.9,0.0,0.0,38.0,0.0,
2021-07-20,Lunch,1:00 PM,1278.3,14.5,7.1,0.3,2.5,0.0,0.0,1591.0,0.0,20.3,3.1,4.3,22.3,0.0,0.0,31.0,0.0,
2021-07-20,Dinner,6:10 PM,1242.6,17.1,7.6,0.0,0.0,0.0,0.0,53.0,0.0,13.1,2.2,6.5,21.4,0.0,0.0,0.0,0.0,
2021-07-20,Snacks,10:20 AM,676.6,0.5,0.2,0.1,0.0,0.0,0.0,6.3,584.7,41.9,5.2,24.0,1.8,2.0,23.8,1.1,2.9,
2021-07-20,Snacks,3:55 PM,861.1,4.3,2.8,0.1,0.0,0.0,0.0,51.0,486.9,39.7,3.5,24.8,5.2,1.7,19.7,10.7,2.0,
2021-07-21,Breakfast,8:15 AM,1686.2,13.9,7.4,0.0,0.0,0.0,0.0,387.0,0.0,42.9,2.4,17.6,19.9,0.0,0.0,38.0,0.0,
2021-07-21,Lunch,12:20 PM,2633.8,27.3,13.3,0.0,0.0,0.0,0.0,2000.0,0.0,43.0,2.8,3.8,52.0,0.0,0.0,72.5,0.0,
2021-07-21,Dinner,5:40 PM,2569.0,7.3,0.2,0.0,0.0,0.0,0.0,1399.0,0.0,100.5,15.5,5.0,27.8,0.0,0.0,0.0,0.0,
2021-07-21,Snacks,7:25 PM,390.4,4.7,2.4,0.0,0.0,0.0,0.0,20.0,220.0,10.0,2.0,8.7,2.0,167.0,275.0,6.1,27.0,
2021-07-22,Breakfast,8:15 AM,1598.3,12.6,7.4,0.0,0.0,0.0,0.0,225.0,0.0,41.9,2.4,17.6,18.9,0.0,0.0,38.0,0.0,
2021-07-22,Lunch,12:20 PM,2433.0,26.3,13.0,0.0,0.0,0.0,0.0,1580.0,0.0,42.6,2.8,3.4,42.6,0.0,0.0,72.5,0.0,
2021-07-22,Dinner,5:50 PM,2507.0,23.5,5.5,0.0,0.0,0.0,0.0,1676.5,0.0,54.1,5.8,8.2,37.6,0.0,1.3,23.0,0.0,
2021-07-22,Snacks,9:15 AM,979.1,12.8,0.5,0.6,5.0,0.0,0.0,109.2,394.5,24.5,1.0,2.4,4.9,0.0,0.1,0.1,0.2,
2021-07-23,Breakfast,9:30 AM,1617.6,15.9,7.6,2.7,2.0,0.1,0.0,175.0,34.5,41.1,4.8,17.7,14.1,0.0,0.1,38.1,0.2,
2021-07-23,Lunch,12:45 PM,2238.4,29.0,10.8,0.0,0.0,0.2,45.0,720.0,0.0,42.0,1.0,1.0,25.0,0.0,0.0,2.0,20.0,
2021-07-23,Dinner,5:35 PM,1540.1,7.0,1.1,0.0,0.0,0.0,0.0,840.0,0.0,56.4,4.9,5.6,16.5,0.0,0.0,0.0,0.0,
2021-07-23,Snacks,5:25 PM,1087.8,10.0,0.0,1.6,8.8,0.0,0.0,840.0,0.0,36.0,2.0,4.0,6.0,0.0,0.0,0.0,8.0,
2021-07-24,Breakfast,8:15 AM,1393.3,14.8,7.4,2.7,2.0,0.1,0.0,137.0,0.0,33.6,4.2,16.3,11.4,0.0,0.0,38.0,0.0,
2021-07-24,Lunch,1:00 PM,845.2,7.2,1.0,0.1,0.0,0.0,0.0,160.6,316.8,6.7,1.4,5.7,25.1,28.6,37.4,8.0,2.4,
2021-07-24,Dinner,7:00 PM,3106.2,22.4,11.0,0.2,1.4,0.0,189.0,441.0,3233.1,28.7,11.5,4.9,78.0,487.0,163.2,32.7,50.9,
2021-07-24,Snacks,11:00 AM,844.0,10.4,3.6,0.0,0.0,0.0,0.0,34.2,358.5,21.2,3.0,15.1,4.7,0.0,0.1,2.1,15.2,
2021-07-25,Breakfast,10:10 AM,2434.3,10.3,7.2,0.7,0.3,0.0,0.0,334.0,671.2,95.6,12.6,27.5,20.5,1.3,14.8,38.5,76.5,
2021-07-25,Lunch,2:35 PM,1317.1,11.1,7.0,0.3,2.5,0.0,0.0,722.5,247.4,22.5,1.8,8.9,32.4,167.9,284.9,36.1,18.0,
2021-07-25,Dinner,5:05 PM,2023.9,30.0,0.1,0.3,0.0,0.0,0.0,340.9,893.2,32.7,6.2,11.2,21.4,98.6,33.7,80.8,4.3,
2021-07-25,Snacks,11:25 AM,1506.2,19.5,0.0,0.0,0.0,0.0,38.0,428.0,67.0,44.2,1.5,9.8,9.1,8.0,0.0,2.0,6.0,
2021-07-26,Breakfast,7:05 AM,1560.7,11.0,7.1,0.0,0.0,0.0,0.0,159.0,0.0,44.5,2.8,21.0,12.5,0.0,0.0,63.0,25.0,
2021-07-26,Lunch,1:10 PM,2271.1,27.3,10.4,0.4,2.5,0.0,87.0,1062.9,716.2,23.3,0.8,5.5,48.7,28.6,9.3,37.8,0.2,
2021-07-26,Dinner,6:35 PM,1645.2,19.3,10.4,0.4,2.5,0.0,87.0,945.9,716.2,6.9,0.8,4.7,44.1,28.6,9.3,37.8,0.2,
2021-07-27,Breakfast,9:35 AM,1560.7,11.0,7.1,0.0,0.0,0.0,0.0,159.0,0.0,44.5,2.8,21.0,12.5,0.0,0.0,63.0,25.0,
2021-07-27,Breakfast,3:35 PM,920.5,9.8,6.8,0.0,0.0,0.0,0.0,90.0,0.0,14.0,0.0,13.0,9.4,0.0,0.0,38.0,0.0,
2021-07-27,Lunch,1:35 PM,1385.1,26.1,1.6,1.5,7.3,0.0,0.0,268.3,469.3,14.6,6.4,5.0,13.5,22.8,13.6,27.5,0.9,
2021-07-27,Dinner,6:00 PM,3255.1,40.0,0.0,0.0,0.0,0.0,0.0,682.5,705.0,86.5,3.0,5.5,26.0,240.0,60.0,12.0,22.5,
2021-07-28,Breakfast,8:35 AM,506.3,0.4,0.2,0.1,0.0,0.0,0.0,1.4,486.9,31.1,3.5,16.6,1.5,1.7,19.7,0.7,2.0,
2021-07-28,Lunch,12:25 PM,1623.4,20.9,2.2,0.1,0.0,0.0,0.0,1.4,490.9,41.6,3.5,16.6,8.0,168.7,294.7,5.5,19.0,
2021-07-28,Dinner,6:15 PM,1859.1,37.8,8.4,1.7,12.5,0.0,0.0,722.7,279.1,9.9,2.6,5.1,17.0,31.7,64.6,74.2,3.5,
2021-07-28,Snacks,10:20 AM,1302.1,13.8,5.9,0.2,2.2,0.0,0.0,147.9,318.9,32.6,7.7,24.8,15.9,0.9,157.6,1.9,18.1,
2021-07-29,Breakfast,8:55 AM,1143.9,5.0,0.9,0.4,0.2,0.0,0.0,287.5,662.5,34.8,3.7,22.4,20.3,17.0,0.0,38.0,0.0,
2021-07-29,Lunch,12:50 PM,2071.2,15.2,0.3,0.3,0.0,0.0,0.0,4.4,802.9,80.5,6.5,58.6,13.4,2.7,194.7,2.7,3.0,
2021-07-29,Dinner,6:20 PM,2930.9,16.4,2.1,0.1,0.0,0.0,0.0,297.7,912.6,44.4,1.8,4.7,65.1,64.3,21.0,15.3,0.4,
2021-07-29,Snacks,12:05 AM,550.2,7.4,4.9,0.0,2.2,0.0,0.0,0.0,12.0,15.5,0.4,16.0,1.0,0.0,0.0,0.0,0.0,
2021-07-30,Breakfast,8:05 AM,1932.6,6.5,3.1,0.3,0.1,0.0,0.0,217.9,588.9,74.5,8.0,28.7,25.5,1.7,19.7,54.7,27.0,
2021-07-30,Lunch,11:50 AM,2187.8,24.3,7.2,0.4,2.5,0.0,0.0,605.2,241.7,52.7,1.2,43.7,19.8,42.8,14.0,41.2,1.3,
2021-07-30,Dinner,5:30 PM,2207.1,20.5,9.4,0.0,0.0,0.0,0.0,810.0,143.8,59.0,1.2,9.0,17.9,14.1,40.6,21.4,0.3,
2021-07-30,Snacks,2:00 PM,916.3,2.7,1.8,0.0,0.0,0.0,0.0,0.3,0.0,40.5,0.0,30.0,7.5,0.0,0.0,0.0,0.0,
2021-07-31,Breakfast,8:20 AM,1019.2,4.3,2.6,0.0,0.0,0.0,0.0,159.2,136.5,30.5,3.3,11.4,18.7,0.0,0.1,54.1,3.2,
2021-07-31,Lunch,1:20 PM,2681.0,32.2,6.9,7.1,15.4,0.0,56.0,951.5,1618.8,70.6,9.6,28.4,24.0,115.9,152.0,21.3,9.0,
2021-07-31,Dinner,6:20 PM,2064.4,4.8,1.2,0.3,0.3,0.0,58.0,93.5,508.5,68.1,10.3,5.1,38.8,0.3,2.3,1.8,4.0,
2021-07-31,Snacks,11:45 AM,1038.5,6.7,6.2,0.1,0.0,0.0,0.0,17.7,486.9,47.9,3.5,16.6,2.3,1.7,19.7,0.7,2.0,
2021-08-01,Breakfast,8:30 AM,848.8,2.0,0.4,0.0,0.0,0.0,0.0,111.0,79.5,36.1,4.2,6.6,6.8,0.0,0.0,7.5,9.0,
2021-08-01,Lunch,12:15 PM,575.3,0.9,0.3,0.0,0.0,0.0,0.0,0.7,243.4,29.7,1.8,8.3,3.9,0.9,9.9,0.3,1.0,
2021-08-01,Dinner,4:50 PM,1321.7,9.2,4.1,0.3,0.3,0.0,58.0,359.5,508.5,8.3,8.6,5.0,46.2,0.3,2.3,23.6,4.0,
2021-08-01,Snacks,3:15 PM,1811.7,11.2,7.0,0.0,0.0,0.0,0.0,268.8,905.4,62.1,5.8,31.5,21.0,201.2,433.6,74.5,20.2,
2021-08-02,Breakfast,9:05 AM,1235.9,4.4,2.7,0.0,0.0,0.0,0.0,155.7,345.4,43.9,5.1,17.6,19.4,0.9,9.9,54.3,4.0,
2021-08-02,Lunch,12:55 PM,499.2,1.1,0.1,0.3,0.0,0.0,0.0,89.7,1768.5,23.1,8.5,8.3,6.2,334.3,183.6,46.4,16.9,
2021-08-02,Dinner,5:05 PM,3739.3,28.2,17.0,0.2,0.2,0.0,29.0,5004.1,127.5,98.4,6.5,1.7,58.2,0.0,1.0,0.5,2.0,
2021-08-02,Snacks,2:00 PM,1366.9,14.2,8.2,0.0,0.0,0.0,0.0,74.0,243.4,40.0,5.7,11.9,9.3,0.9,9.9,0.3,1.0,
2021-08-03,Breakfast,8:05 AM,2327.1,12.2,6.7,0.1,0.0,0.0,0.0,222.0,724.0,87.7,9.0,45.7,22.9,16.1,89.4,94.3,2.1,
2021-08-03,Lunch,12:25 PM,2071.5,10.9,3.0,0.0,0.0,0.0,0.0,619.8,470.0,72.4,6.9,1.7,23.0,160.0,40.0,8.0,15.0,
2021-08-03,Dinner,5:45 PM,2826.7,22.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,67.3,2.5,1.1,12.1,0.0,0.0,0.0,0.0,
2021-08-03,Snacks,11:20 AM,36.4,0.1,0.0,0.0,0.0,0.0,0.0,4.2,34.5,2.1,0.0,2.1,0.0,0.0,333.1,0.1,0.2,
2021-08-04,Breakfast,8:35 AM,855.2,4.2,0.7,0.0,0.0,0.0,0.0,225.0,600.0,21.8,2.7,16.6,17.9,17.0,0.0,38.0,0.0,
2021-08-04,Lunch,1:10 PM,2737.0,26.1,12.3,0.7,3.7,0.0,0.0,1036.6,402.9,69.2,15.8,33.9,31.9,13.8,142.0,40.6,6.5,
2021-08-04,Dinner,5:40 PM,2826.7,22.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,67.3,2.5,1.1,12.1,0.0,0.0,0.0,0.0,
2021-08-04,Snacks,12:00 PM,506.3,0.4,0.2,0.1,0.0,0.0,0.0,1.4,486.9,31.1,3.5,16.6,1.5,1.7,19.7,0.7,2.0,
2021-08-05,Breakfast,7:40 AM,2066.9,13.0,7.1,0.1,0.0,0.0,0.0,136.4,490.9,71.8,5.9,22.2,20.4,168.7,294.7,5.5,19.0,
2021-08-05,Lunch,2:25 PM,1738.3,14.9,4.6,0.7,3.7,0.0,0.0,1097.0,362.9,42.1,15.3,8.7,24.9,12.6,127.6,9.8,3.3,
2021-08-05,Dinner,5:55 PM,1414.2,8.2,2.6,0.0,0.0,0.0,13.5,915.5,0.0,47.2,8.1,1.1,15.7,0.0,0.0,0.0,0.0,
2021-08-05,Snacks,8:30 AM,36.4,0.1,0.0,0.0,0.0,0.0,0.0,4.2,34.5,2.1,0.0,2.1,0.0,0.0,0.1,0.1,0.2,
2021-08-06,Breakfast,8:50 AM,1560.6,12.6,6.9,0.0,0.0,0.0,0.0,135.0,0.0,40.7,2.4,5.6,18.9,0.0,0.0,0.0,0.0,
2021-08-06,Lunch,12:15 PM,2265.6,44.1,10.2,0.7,3.7,0.0,0.0,1379.6,181.9,12.4,9.4,8.0,23.4,2.6,3.8,4.5,0.2,
2021-08-06,Dinner,5:10 PM,2223.8,27.3,10.0,0.0,0.0,0.2,45.0,810.0,143.8,49.8,2.2,11.6,20.3,14.1,40.6,23.4,20.3,
2021-08-06,Snacks,1:15 AM,1365.2,11.2,8.0,0.1,0.0,0.0,0.0,11.2,486.9,53.1,3.8,27.2,5.9,1.7,19.7,0.7,2.0,
2021-08-07,Breakfast,8:35 AM,1315.0,4.9,2.6,0.0,0.0,0.0,0.0,246.0,145.0,40.3,4.2,15.6,24.4,0.0,0.0,54.0,25.0,
2021-08-07,Lunch,3:55 PM,2233.4,9.5,1.9,3.1,2.9,0.0,55.0,811.0,2035.4,75.7,18.3,25.0,40.0,7.0,3.0,110.6,82.1,
2021-08-07,Dinner,5:20 PM,2673.1,45.3,17.0,0.1,0.0,0.0,9.0,945.0,483.5,36.6,4.3,3.2,28.4,57.3,121.8,124.2,4.0,
2021-08-07,Snacks,3:55 PM,381.1,4.2,2.2,0.1,0.0,0.0,0.0,9.4,161.2,11.7,0.8,9.5,1.4,28.6,9.3,6.8,0.2,
2021-08-08,Breakfast,8:15 AM,1315.0,4.9,2.6,0.0,0.0,0.0,0.0,246.0,149.0,40.3,4.2,15.6,24.4,167.0,275.0,58.8,42.0,
2021-08-08,Lunch,5:35 PM,1799.1,26.0,10.0,0.0,0.0,0.1,40.0,680.0,0.0,37.0,2.0,2.0,11.0,15.0,2.0,4.0,20.0,
2021-08-08,Dinner,2:05 PM,3642.1,19.4,3.3,16.0,8.0,0.0,166.0,972.7,1095.4,135.7,11.6,19.9,36.9,46.9,263.9,18.3,29.0,
2021-08-08,Snacks,11:40 AM,320.5,4.0,1.8,0.0,0.0,0.0,0.0,60.2,34.5,8.9,0.0,5.5,1.1,0.0,0.1,0.1,0.2,
2021-08-09,Breakfast,7:45 AM,1315.0,4.9,2.6,0.0,0.0,0.0,0.0,246.0,145.0,40.3,4.2,15.6,24.4,0.0,0.0,54.0,25.0,
2021-08-09,Lunch,12:35 PM,1738.5,13.7,2.1,4.3,2.0,0.1,0.0,536.2,1129.2,40.6,10.1,21.3,34.4,225.8,313.3,19.1,37.6,
2021-08-09,Dinner,5:55 PM,1079.5,11.7,3.9,0.0,0.0,0.0,75.0,460.0,80.0,23.5,2.2,1.1,15.6,0.0,0.0,27.0,0.0,
2021-08-09,Snacks,11:30 AM,1117.1,20.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,
2021-08-10,Breakfast,8:15 AM,1315.0,4.9,2.6,0.0,0.0,0.0,0.0,246.0,145.0,40.3,4.2,15.6,24.4,0.0,0.0,54.0,25.0,
2021-08-10,Lunch,1:00 PM,1683.6,21.4,4.8,4.0,5.7,0.1,0.0,579.7,423.6,12.4,8.7,4.4,40.7,45.4,17.8,141.7,18.1,
2021-08-10,Dinner,5:15 PM,2716.3,13.1,3.7,0.0,0.0,0.0,0.0,377.3,705.5,93.8,4.2,10.6,31.5,174.0,209.9,52.1,19.5,
2021-08-10,Snacks,9:35 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-08-11,Breakfast,8:00 AM,1315.0,4.9,2.6,0.0,0.0,0.0,0.0,246.0,149.0,40.3,4.2,15.6,24.4,167.0,275.0,58.8,42.0,
2021-08-11,Lunch,1:00 PM,2145.2,27.0,5.6,4.7,9.3,0.1,0.0,647.8,1221.6,27.4,14.3,10.7,42.8,208.6,67.4,154.4,33.3,
2021-08-11,Dinner,5:30 PM,2291.1,14.7,5.3,0.0,0.0,0.0,0.0,197.0,230.0,72.6,14.1,3.0,46.4,0.0,0.0,27.0,0.0,
2021-08-11,Snacks,10:00 AM,2.5,0.1,0.0,0.0,0.0,0.0,0.0,4.2,34.5,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,
2021-08-12,Breakfast,8:55 AM,1315.0,4.9,2.6,0.0,0.0,0.0,0.0,246.0,149.0,40.3,4.2,15.6,24.4,167.0,275.0,58.8,42.0,
2021-08-12,Lunch,12:20 PM,1804.2,24.3,4.8,3.1,1.5,0.0,0.0,464.4,321.2,20.1,1.9,14.0,31.2,28.6,9.3,33.8,0.2,
